-philia	['-philie']
constrain	['behindern', 'einschränken', 'limitieren']
predicate calculus	['Prädikatenlogik']
grand duchy	['Großherzogtum']
hearsay	['Hörensagen', 'Gerücht']
hair gel	['Haargel']
confluence	['Zusammenfluss']
doubly	['doppelt']
code	['', 'Kode', 'Gesetzbuch', 'Code', 'Kodex', 'programmieren', 'coden']
bisector	['Winkelhalbierende', 'Halbierende', 'Winkelsymmetrale']
nazi	['']
campaign	['Heereszug', 'sich einsetzen', 'Feldzug', 'Kampagne']
Aaronic	['aaronitisch']
satellite phone	['Satellitentelefon']
stinginess	['Geiz']
fried egg	['Spiegelei']
leotard	['Leotard']
distaff	['Spinnrocken', 'Rocken', 'Kunkel']
cavity	['Hohlraum', 'Höhle', 'Karies', 'Gravur', 'Loch', 'Aushöhlung']
succinct	['knapp', 'bündig', 'lapidar', 'kurz', 'prägnant', 'kompakt']
allotrope	['Allotrop']
emerald	['Smaragd', 'Smaragdgrün', 'smaragdgrün', 'smaragdfarben']
horn of plenty	['']
Old Icelandic	['Altisländisch']
microbody	['Microbody', 'Peroxisom']
ferment	['stören', 'gären', 'anstacheln', 'Gärmittel']
talcum	['Talk']
arithmomania	['Arithmomanie']
grandee	['Grande']
parroting	['Nachplappern']
wedding gown	['']
arum	['Aronstab']
Miltiades	['Militiades']
wooden spoon	['Holzlöffel', 'rote Laterne', 'Kochlöffel']
San José	['', 'San José']
strikebreaker	['Streikbrecher']
intermediate frequency	['Zwischenfrequenz']
conniption	['Wutanfall', 'hysterischer Anfall', 'Lachanfall', 'Anfall']
gram	['Gramm']
Bashkortostan	['Baschkortostan']
coelacanth	['Quastenflosser']
banister	['Geländer', 'Geländerpfosten']
Austrian	['Österreicher', 'Österreicherin', 'österreichisch']
nuclear winter	['nuklearer Winter']
snail mail	['Schneckenpost', 'Snailmail  Snail-Mail']
theme park	['Themenpark']
amblyopia	['Amblyopie', 'Sehschwäche', 'Schwachsichtigkeit']
lost property	['']
formality	['Formalie']
extensibility	['Erweiterbarkeit']
ache	['weh tun', 'schmerzen', 'Schmerz']
kvass	['Kwass']
seventies	['siebziger Jahre', 'Siebziger']
solenoid	['Spule']
Tocharian B	['Tocharisch B', 'Westtocharisch']
cotton wool	['Baumwolle', 'Verbandwatte']
don	['', 'anziehen']
outhouse	['', 'Abort', 'Klo', 'Plumpsklo', 'Außenklo  ; Außentoilette']
jubilarian	['Jubilar', 'Jubilarin']
independent variable	['unabhängige Variable']
estrange	['entfremden']
range	['', 'Weide', 'Gebirge', 'Herd', 'Interval', 'Wertevorrat', 'Entfernung', 'Zielmenge', 'Umfang', 'Übungsplatz', 'Weite', 'Palette', 'Sortiment', 'Gebirgskette', 'Auswahl', 'Bereich', 'Größenordnung', 'Schießstand', 'Spanne', 'Strecke', 'Reichweite', 'Abstand', 'Gebirgszug']
strategy	['Strategie']
dressing table	['Toilettentisch', 'Kommode', 'Schminktisch']
neatherd	['Kuhhirtin', 'Kuhhirt', 'Kuhhirte']
pot calling the kettle black	['rechter Pantoffel schimpft über linken Pantoffel', 'wer im Glashaus sitzt', 'soll nicht mit Steinen werfen', 'ein Esel schimpft den anderen Langohr']
ambivalent	['ambivalent', 'zwiespältig', 'doppelwertig']
Pancake Tuesday	['']
Cynic	['kynisch', 'Kynikerin', 'Kyniker']
caracal	['Karakal']
law and order	['öffentliche Ordnung']
leopardess	['Leopardin']
waste time	['Zeit vergeuden']
Benghazi	['Bengasi']
forward slash	['']
orthographic	['orthographisch']
trachoma	['Trachom']
mad scientist	['verrückter Wissenschaftler']
Numidia	['Numidien']
arrangement	['Anordnung']
speleologist	['Höhlenforscher', 'Speläologin', 'Höhlenforscherin', 'Speläologe']
dusky	['']
cuddle	['knuddeln', 'kuscheln']
Sofian	['Sofioter']
Islamic	['islamisch']
factory method pattern	['Fabrikmethode']
bolt	['verschrauben', 'Fußeisen', 'ausreißen', 'abhauen', 'sausen', 'verschlingen', 'Schloß', 'Bolzen', 'verschwinden', 'Schuber', 'zusammenschrauben', 'in die Höhe schießen', 'davonjagen', 'schießen', 'durchgehen', 'zurückspringen', 'Schraube', 'Blitzschlag', 'davoneilen', 'Ballen', 'davonlaufen', 'kurzer Pfeil', 'stürzen', 'Schraubbolzen', 'Blitz', 'Reißaus nehmen', 'davonstürzen', 'entkommen', 'Donnerkeil', 'fliehen', 'davonspringen', 'verriegeln', 'Bohrhaken', 'Rolle', 'Sprung', 'Dorn', 'durchbrennen', 'sich davonmachen', 'zuriegeln', 'fortlaufen', 'wegspringen', 'wegrennen', 'schlingen', 'Riegel', 'springen', 'abriegeln', 'verbolzen', 'anschrauben', 'eilen', 'Falle']
Australian dollar	['Australischer Dollar']
European Central Bank	['Europäische Zentralbank']
real socialism	['Realsozialismus']
savor	['Aroma', 'genießen', 'riechen', 'schmecken', 'Geschmack']
adhesive	['Klebstoff', 'klebrig', 'klebend', 'adhäsiv', 'Leim', 'Kleber']
come about	['geschehen']
obelisk	['Kreuz', 'Obelisk']
lawnmower	['Rasenmäher']
subheadline	['Unterzeile']
amends	['Wiedergutmachung']
Helenus	['Helenos']
allergology	['Allergologie']
break up	['Schluss machen', 'auseinander gehen']
Euroskeptic	['Euroskeptikerin', 'Euroskeptiker']
inbalance	['']
Sanskrit	['Sanskrit']
Bonapartist	['Bonapartist', 'bonapartistisch', 'Bonapartistin']
swag	['Sore', 'Diebesgut', 'Beute', 'Swag', 'Werbegeschenk']
German chamomile	['Kamille']
Andean condor	['Andenkondor']
dower	['Leibgedinge', 'Wittum', 'Leibzucht']
mousepad	['']
monoid	['Monoid']
vizier	['Wesir', 'Vizir', 'Vizier', 'Vesir']
exhibitionism	['Exhibitionismus']
readiness	['Bereitschaft']
electrolytic	['elektrolytisch']
brash	['taktlos', 'ungezogen', 'ungestüm', 'dreist']
dun-bar	['Trapezeule']
pulpitis	['Pulpitis']
Guadeloupean	['von Guadeloupe']
oxbow lake	['Altarm', 'Altwasser']
violin	['Fiedel', 'Geige', 'Violine']
sycophantic	['kriecherisch', 'unterwürfig']
cask	['Fass']
premature ejaculation	['vorzeitiger Samenerguss']
ewer	['Krug']
Burdigalian	['Burdigalium']
men	['Menschen', 'Leute']
silovik	['Silowik']
abigail	['Zofe']
erysipelas	['Erysipel']
haste makes waste	['Eile mit Weile']
prayer flag	['Gebetsflagge', 'Gebetsfahne']
hamster	['Hamster']
gypsy	['', 'Zigeunerin', 'Zigeuner']
Andromache	['Andromache']
friar	['Ordensbruder', 'Mönch']
noise pollution	['Lärmbelastung']
scale model	['Miniaturmodell']
pusillanimous	['feige', 'kleinmütig']
Gilead	['Gilead']
home economics	['Hauswirtschaft', 'Hauswirtschaftlehre']
white cabbage	['Weißkohl']
deci-	['Dezi-']
compound	['', 'Verbindung', 'Mischung']
Britain	['', 'Britannien']
yautia	['']
major key	['Durtonart', 'Dur']
bonanza	['Goldgrube']
what you see is what you get	['was du siehst', 'ist was du bekommst']
cycloalkane	['Cycloalkan']
nail file	['Nagelfeile']
Giza	['Gizeh']
French chalk	['Talkum', 'Federweiß']
Tralee	['Tralee']
in the red	['in den roten Zahlen', 'in den Roten']
social climber	['Karrierist']
aim	['zielen', 'Ziel']
unbalanced	['durchgedreht', 'unausgeglichen', 'überdreht']
hemorrhage	['Blutung']
certainly	['gewiss', 'sicher', 'natürlich', 'zweifellos', 'freilich', 'sicherlich']
dyer	['Färber']
lynching	['Lynchjustiz']
notary	['Notar']
sexual partner	['']
fabric	['Stoff', 'Rohbau', 'Struktur', 'Bau', 'Fasern', 'Textil', 'Gewebe']
historiography	['Histographie']
rosewater	['Rosenwasser']
plutoid	['Plutoid']
siliconized	['silikonisiert']
cochlea	['Hörschnecke']
refresh	['neu laden', 'erfrischen', 'aktualisieren', 'auffrischen', 'erquicken']
puff	['', 'Atem', 'Atemstoß', 'paffen', 'Windbeutel', 'Hauch', 'verpuffen', 'anpreisen', 'Sprühstoß', 'blasen', 'Gras', 'Hub', 'Puste', 'werben', 'pusten', 'Windstoß', 'Zug', 'puffen']
caproic acid	['Capronsäure']
plate tectonics	['Plattentektonik']
Ascension Island	['Insel Ascension']
googolplex	['Googolplex']
hit the road	['sich auf den Weg machen']
echidna	['Echidna', 'Ameisenigel', 'Schnabeligel']
parasite	['Schmarotzer', 'Parasit']
Medusa	['Medusa']
absent-mindedness	['Zerstreutheit']
phrase book	['Sprachführer']
spaceship	['Raumschiff ; Raumfahrzeug']
hood	['', 'Abzug', 'Haube', 'Kappe', 'bedecken', 'Verdeck', 'Kapuze', 'Schutzdach', 'Motorhaube', 'Abzugshaube', 'abdecken', 'überdecken']
take care	"['sorgen', 'kümmern', 'aufpassen', 'pass auf dich auf', 'achtgeben', ""mach's gut""]"
cleavable	['spaltbar']
flow chart	['Flussdiagramm']
as much	['ebenso']
hydroponics	['Hydrokultur']
compote	['Kompott']
materialism	['Materialismus']
incompetent	['inkompetent', 'unfähig']
each	['jeder', 'alle']
Eskimo kiss	['Eskimokuss', 'Nasenkuss']
dining room	['Speisezimmer', 'Esszimmer']
obliged	['verpflichtet']
conceptual	['konzeptionell']
inclusion	['Einschluss']
stage-coach	['Postkutsche']
peso	['Peso']
use up	['']
extranet	['Extranet']
pain in the butt	['']
thrice	['dreimal']
C-sharp	['Cis']
infrequent	['selten']
pragmatism	['Pragmatismus']
bummer	['Enttäuschung', 'Frusterlebnis', 'Reinfall']
grammatischer Wechsel	['']
zombie	['Zombie']
banner	['Standarte', 'Transparent', 'außerordentlich', 'herausragend', 'Banner', 'hervorragend']
Gabon	['Gabun']
nonviolence	['Gewaltlosigkeit', 'Gewaltfreiheit']
take in	['einwickeln']
autocephalous	['autokephal']
befuddled	['', 'angetrunken', 'verwirrt', 'betrunken']
discus	['Diskus']
huckster	['']
happiness	['Fröhlichkeit', 'Glücklichkeit', 'Glück']
ass-licker	['Arschleckerin', 'Arschkriecher', 'Arschlecker']
forgettable	['vergessbar']
kiss ass	['in den Arsch kriechen']
slave-girl	['', 'Sklavin']
orthonitric acid	['Orthosalpetersäure']
labour force	['Arbeitskraft']
Chicago	['Chicago', 'Chikago']
umpteenth	['zigte', 'xte', 'soundsovielte']
foolscap	['']
uncomparable	['inkomparabel']
preview	['Vorblick', 'Voraufführung', 'Preview', 'Vorschau']
in person	['höchstpersönlich', 'persönlich', 'in Person']
lecture	['Vorlesung', 'Vortrag']
sally	['ein Ausfall machen', '', 'Ausfall', 'Ausflug', 'Weidengerte']
ogre	['Oger']
air-to-air	['Luft-Luft']
contribution	['Beitrag', 'finanzieller Beitrag', 'Beitragen']
buzzword	['Modewort', 'leeres Schlagwort', 'sinnentleertes Modewort', 'abgedroschene Phrase', 'Schlagwort', 'Buzzword']
coexist	['koexistieren']
straightforward	['offen', 'aufrichtig', 'einfach']
colonist	['Kolonist', 'Kolonistin']
florentium	['Florentium']
gunshot	['Schuss']
jack off	['masturbieren']
layer	['übereinanderlegen', 'Schicht', 'Legehenne', 'Bekleidungsschicht', 'Ableger', 'spalten', 'Lage', 'schichten', 'Kindel', 'Absenker', '-leger', 'trennen']
hyperinflation	['Hyperinflation']
3-dimensional	['']
drop-ball	['Schiedsrichterball']
amid	['inmitten']
florist's	['Blumengeschäft', 'Blumenladen']
unprocessed	['unverarbeitet']
inertness	['Trägheit']
antithesis	['Antithese']
probe	['Sonde']
goggle	['', 'glotzen']
Sicilian Defence	['Sizilianische Verteidigung']
slack	['faul sein', 'trödeln', 'faulenzen', 'schlaff', 'Arbeit scheuen', 'bummeln']
domino effect	['Dominoeffekt']
statuette	['Statuette']
cowl	['Kutte', 'Mönchskutte']
phonetic spelling alphabet	['Funkalphabet', 'Fliegeralphabet', 'Buchstabieralphabet', 'Telefonalphabet', 'Buchstabiertafel']
poppy	['Mohn']
salmonella	['Salmonelle']
clod	['Trottel', 'Klumpen', 'Erdklumpen']
stage	['Bühne', 'Brettl', 'inszenieren', 'Stufe']
take on	['auf sich nehmen', 'antreten', 'aufnehmen', 'übernehmen', 'einbringen', 'annehmen']
RTFM	['LDVH']
drunkness	['']
ascriptive	['askriptiv']
cuticle	['', 'Kutikula', 'Cuticula', 'Nagelhaut']
anorexia	['', 'Anorexie']
moral code	['Moralkodex']
intelligence quotient	['Intelligenzquotient']
ascendancy	['Vormacht', 'Einfluss', 'Vorherrschaft', 'Vormachtstellung', 'Überlegenheit', 'Aufstieg']
clear	['', 'entheben', 'frei', 'abklären', 'klar', 'befreien', 'klar werden', 'hell', 'heiter', 'deutlich', 'roden', 'aufklären', 'räumen', 'freigeben', 'verrechnen', 'durchsichtig', 'freiräumen', 'klären', 'ausräumen', 'eindeutig', 'weg von', 'rein', 'wolkenlos']
nerve cell	['Nervenzelle', 'Neuron']
Zachary	['Zacharias']
soy milk	['Sojamilch']
stag	['', 'Hirsch', 'Hirschbock', 'Rothirsch', 'wilde Hummel', 'Konzertzeichner', 'Fohlen', 'Zaunkönig']
soft skill	['soziale Kompetenz', 'Soft Skills']
horoscope	['Horoskop']
comeuppance	['Quittung']
from the word go	['vom ersten Moment an']
walk	['wandern', 'laufen', 'gehen', 'freigelassen werden', 'freikommen', 'begleiten', 'Weg', 'Spaziergang', 'spazieren gehen', 'wegkommen', 'ausführen']
literary science	['Literaturwissenschaft']
domain	['Domain', 'Definitionsbereich', 'Domains', 'Domäne', 'Definitionsmenge', 'Gebiet', 'Bereich', 'Wissensgebiet', 'Domänen', 'Bezirk']
aristocrat	['Aristokrat']
processor	['Prozessor']
twist tie	['Pflanzenbinder', 'Bindedraht']
accumulation	['Konkurrenz', 'Anhäufung']
melilot	['']
clash	['Clash', 'Zusammenstoß', 'Auseinandersetzung']
behind closed doors	['hinter verschlossenen Türen']
waldmeister	['']
food chain	['Nahrungskette']
incomprehensibleness	['Unverständlichkeit']
thong	['Flipflops', '', 'Lederriemen', 'Flip-Flops', 'Badelatschen']
policeman	['Polizist']
half-awake	['halb wach', 'halbwach']
busybody	['Wichtigtuer', 'Wichtigtuerin']
lockup	['']
cheap	['preiswert', 'geizig', 'preisgünstig', 'billig']
harbourmaster	['']
contingency plan	['Alternativplan', 'Notfallplan', 'Ausweichplan']
mercenary	['käuflich', 'Söldner', 'gewinnsüchtig', 'Söldnerin', 'geldgierig']
recruit	['Rekrut', 'rekrutieren']
sixty-second	['zweiundsechzigste']
backstroke	['Rückenschwimmen', 'Rückenkraulen']
Christina	['Christine']
monger	['Händler', 'Krämer', 'Verkäufer']
autopoiesis	['Autopoiesis']
hajj	['Haddsch', 'Hadj', 'Hadsch']
Trojan War	['Trojanischer Krieg']
pangolin	['Tannenzapfentier', 'Schuppentier']
defenseless	['wehrlos', 'schutzlos']
brooch	['Brosche']
duress	['Nötigung', 'Zwang']
in the wild	['in freier Natur', 'in freier Wildbahn', 'wildlebend']
denizen	['Stammgast', 'Bewohner', 'Bewohnerin', 'Staatsbürger', 'Stammgästin']
advance guard	['Vorhut']
sergeant	['Stabsunteroffizier']
40s	['']
throstle	['Drossel']
chocolate egg	['']
Bithynia	['Bithynien']
cotton ball	['Wattekugel', 'Wattebällchen']
exchange rate	['Wechselkurs']
alphabetic	['']
giant anteater	['Großer Ameisenbär']
diaper	['Windel', 'wickeln', 'windeln']
teenager	['Jugendliche', 'Jugendlicher']
Ancus	['Ancus']
forensic science	['Forensik', 'Kriminalistik']
spout	['speien', 'Ausguss', 'Schnabel', 'spritzen', 'Tülle']
intranslatability	['Unübersetzbarkeit']
Lake Mälaren	['Mälaren']
Mycenae	['Mykene', 'Mykenä']
hourly	['allstündlich', 'stündlich']
co-opt	['kooptieren']
supply and demand	['Angebot und Nachfrage']
now and again	['']
inaction	['Trägheit', 'Untätigkeit', 'Nichtstun', 'Tatenlosigkeit']
garniture	['Garnitur']
pension	['in den Ruhestand versetzen', 'Rente', 'pensionieren', 'Pension']
mastery	['', 'Meisterschaft']
Marseille soap	['Marseiller Seife']
insect	['Kerf', 'Kerbtier', 'Insekt']
readability	['Lesbarkeit']
man-day	['Arbeitstag']
voyeurism	['Voyeurismus']
alms	['Almosen']
apart	['in Stücke', '', 'getrennt', 'entzwei', 'beiseite']
adjective phrase	['Adjektivphrase', 'adjektivisches Satzglied']
field of vision	['Blickfeld']
decipher	['dechiffrieren', 'entschlüsseln', 'entziffern']
groceries	['Lebensmittel']
flat feet	['']
Tibet	['Tibet']
taxi driver	['Taxifahrer', 'Taxifahrerin']
anarchy	['Anarchie']
dubnium	['Dubnium']
massive	['massiv']
Somaliland	['Somaliland']
-ing	['-ung', '-end']
child labor	['']
anatomically	['anatomisch']
integer	['Ganzzahl', 'ganze Zahl']
tithe	['', 'Zehnt']
illustration	['Illustration']
in question	['infrage kommend', 'infrage', 'fraglich', 'in Frage stellen']
jobless	['']
Czech Republic	['Tschechische Republik', 'rarely Tschechei', 'Tschechien']
banshee	['Banshee']
soldering iron	['Lötkolben']
sans serif	['serifenlos']
search engine	['Suchmaschine']
shadowing	['Schattenlesen']
vaguery	['']
milkweed	['Seidenpflanze']
sun protection factor	['Lichtschutzfaktor']
failure to thrive	['Gedeihstörung']
rood screen	['Doxale', 'Lettner']
coffer	['', 'Tresor', 'Kassetten', 'Kassette', 'Truhe', 'Kasten', 'Kiste', 'Kasse', 'Geldkassette', 'Schatztruhe']
taxidermist	['Tierpräparator']
eraser	['Radiergummi', 'Gummi', 'Tafelschwamm', 'Radierer']
twilit	['dämmrig']
isodomic	['isodom']
revolve	['sich drehen']
knack	['Gabe']
derrick	['Drehkran', 'Lademast', 'Ladekran', 'Kranmast', 'Lastkran', 'Kranbaum', 'Bohrturm', 'Montagekran', 'Ladebaum', 'Derrickkran']
firebreather	['']
Peloponnese	['Peloponnes']
Aaron	['Aaron']
goalie	['Goalie', 'Goali']
periphery	['Peripherie']
Sahara	['Sahara']
abecedarium	['']
cycloid	['Radlaufkurve', 'Zykloide']
Wrangel Island	['Wrangelinsel']
networking	['Vernetzung', 'Networking']
bronchitis	['Bronchitis']
bung	['', 'Korken', 'Stöpsel']
convenient	['günstig', 'einfach', 'bequem', 'passend', 'genehm', 'praktisch', 'gelegen']
pilchard	['Sardine']
isometric	['isometrisch']
ethnic minority	['ethnische Minderheit']
ability	['Fähigkeit']
igneous rock	['magmatisches Gestein', 'Erstarrungsgestein']
meltdown	['Kernschmelze']
five o'clock	['fünf Uhr']
titanium group	['Titangruppe']
democratic socialism	['demokratischer Sozialismus']
barber	['Friseur', 'frisieren', 'Friseurin', 'Haare schneiden']
fission	['Spaltung', 'Zellteilung', 'spalten', 'Kernspaltung']
knackwurst	['Knackwürstchen', 'Knackwurst']
quantifier	['Quantor']
electrochemist	['Elektrochemiker', 'Elektrochemikerin']
pharyngitis	['Pharyngitis', 'Rachenentzündung']
detergent	['Reinigungsmittel']
combat sport	['Kampfsport']
where are we	['wo sind wir?']
Proverbs	['Sprüche']
riot	['Tumult', 'Randale', 'Krawall', 'Aufruhr']
characteristic polynomial	['charakteristiches Polynom']
breadth-first search	['Breitensuche']
wonder	['sich fragen', 'Mirakel', 'Wunder', 'sich wundern']
French horn	['Waldhorn']
Kentucky	['Kentucky']
Auslan	['australische Gebärdensprache']
executive	['exekutiv', 'Exekutive']
volunteer	['Ehrenamtlicher', 'sich freiwillig melden', 'sich anbieten', 'anbieten', 'Freiwillige', 'Ehrenamtliche', 'Freiwilliger']
anthropomorphization	['Vermenschlichung', 'Anthropomorphisierung']
Orkney Islands	['Orkney']
wedding cake	['Hochzeitstorte']
Belgian	['Belgier', 'belgisch', 'Belgierin']
stick	['', 'stechen', 'Knüppel', 'dabeibleiben', 'Stock', 'Stab', 'stocken', 'stecken', 'Schaltknüppel', 'steckenbleiben', 'anheften', 'Hockeyschläger', 'kleben']
ministration	['Dienst', 'Fürsorge', 'Pflege']
retell	['wiedererzählen', 'nacherzählen']
prophetic	['prophetisch']
have a screw loose	['einen Dachschaden haben', 'einen an der Klatsche haben', 'nicht alle Tassen im Schrank haben', 'eine Schraube locker haben']
adaptation	['Anpassung']
dictaphone	['']
grammary	['']
marine biologist	['Meeresbiologe', 'Meeresbiologin']
Boreal	['Boreal']
shadowbox	['']
anklet	['Fußband', 'Fußkette']
singer-songwriter	['Singer-Songwriter', 'Liedermacherin', 'Singer-Songwriterin', 'Liedermacher']
temerity	['Unbesonnenheit', 'Verwegenheit', 'Kühnheit']
origami	['Origami']
Goa	['Goa']
chagrin	['Verdruss', 'verärgern', 'stören', 'Leidwesen', 'ärgern', 'verdrießen']
wish list	['Wunschzettel', 'Wunschliste']
blue-winged kookaburra	['Haubenliest', 'Blauflügelkookaburra']
vorarephilia	['Gynophagie']
blazon	['beschreiben', 'Blasonierung']
Allahu akbar	['Allahu akbar']
Krasnoyarsk	['Krasnojarsk']
pessimistic	['pessimistisch']
slaw	['Krautsalat']
dust devil	['Staubteufel', 'Kleintrombe']
spurious	['unecht']
Nalchik	['Naltschik']
vial	['Phiole']
monkfish	['Meeresteufel', 'Seeteufel']
stevia	['Stevia', 'Honigkraut', 'Süßkraut', 'Süßblatt']
gerenuk	['Giraffengazelle']
objectionable	['unangenehm', 'störend', 'unzulässig']
Appenzell Inner Rhodes	['Appenzell Innerrhoden']
purr	['schnurren', 'Schnurren']
Al Jazeera	['Al-Dschasira']
humble	['demütig', 'bescheiden', 'einfach', 'demütigen', 'demütig machen', 'erniedrigen']
message	['Botschaft', 'Mitteilung', 'Nachricht']
vitiligo	['Vitiligo', 'Weißfleckenkrankheit']
cold fusion	['kalte Fusion']
homonymous	['gleichnamig', 'homonymisch']
u-stem	['u-Stamm']
Turkish Vankedisi	['Türkische Katze', 'Vankatze', 'Türkisch Van ; Schwimmkatze']
verdigris	['Grünspan']
penniless	['mittellos', 'ohne einen Pfennig', 'ohne Geld']
Bermuda Triangle	['Bermuda-Dreieck']
bowler hat	['Melone', 'Melonenhut']
screwup	['Versager']
ethnic group	['Ethnie', 'ethnische Gruppe', 'Volksgruppe']
sympathize	['mitfühlen']
rock crystal	['Bergkristall']
to the max	['']
BRIC	['BRIC']
four-eyes	['Brillenträgerin', 'Brillenträger', 'Brillenschlange', 'Vierauge']
obtainable	['verfügbar']
stoicism	['Stoizismus']
expunge	['durchstreichen', 'ausstreichen', 'auslöschen']
animal rights	['Tierrechte']
Bulgarian	['Bulgarin', 'bulgarisch', 'Bulgare', 'Bulgarisch']
singlet	['Unterhemd']
favourable	['günstig']
almost everywhere	['fast überall']
East Asian	['ostasiatisch', 'Ostasiatin', 'Ostasiat']
diluvian	['sintflutartig']
Hannah	['Hanna', 'Hannah']
benevolence	['Gutmütigkeit']
aeration	['Belüftung']
pickup truck	['Pickup']
gush	['Schwall', 'sich ergießen', 'schwärmen', 'Flut', 'strömen']
political correctness	['Political Correctness', 'PC', 'politische Korrektheit']
forty-seven	['siebenundvierzig']
Central Africa	['Zentralafrika']
dweller	['']
felicitate	['']
silly	['albern', 'doof']
mudra	['Mudra']
mixed reaction	['verschiedene Reaktionen', 'sortierte Reaktionen']
freedom of contract	['Vertragsfreiheit']
Saint Barbara	['die heilige Barbara', 'Sankt Barbara', 'St. Barbara']
churn	['durchschütteln', '', 'Rührtrommel', 'aufwühlen', 'wusseln', 'Butterfertiger', 'Kerne', 'wühlen', 'rütteln', 'Butterfass']
methylated spirit	['Brennspiritus', 'Spiritus']
motel	['Motel']
epidermis	['Epidermis', 'Oberhaut']
duct tape	['Panzerband']
channel	['Kanal', 'Meeresstraße', 'Straße', 'lenken']
floorball	['Unihockey']
gahnite	['Gahnit']
Bengal tiger	['Königstiger', 'Königstigerin']
philosophy of science	['Wissenschaftstheorie']
Freemasonry	['Freimaurerei']
backfisch	['Backfisch']
barbed wire	['Stacheldraht']
golden	['golden']
howitzer	['Haubitze']
poo	['Kacke', 'kacken', 'Aa machen', 'käckern']
monosodium glutamate	['Mononatriumglutamat']
wishlist	['Wunschzettel', 'Wunschliste']
narcotherapy	['Schlafkur']
wastewater	['Abwasser']
Andromeda	['Andromeda']
outrageous	['verstörend', 'ungeheuerlich', 'haarsträubend', 'schockierend']
Danish crow	['']
abaca	['', 'Abaka']
comic	['Bildergeschichte']
cannula	['Kanüle']
methanol	['Methanol']
eye MD	['']
monopoly	['Monopol']
scope	['Umfang', 'Ziel', 'Gültigkeitsbereich', 'Umgebung', 'Rahmen', 'Gebiet', 'Bereich', 'Feld', 'Raum']
unfeasible	['']
pitting corrosion	['Lochfraß', 'Lochfraßkorrosion']
ID	['']
ex-boyfriend	['Ex-Freund']
polecat	['Iltis', '']
extroverted	['extrovertiert']
eggs and bacon	['']
disagreeable	['unangenehm', 'unsympathisch']
Rēzekne	['Rositten', 'Rēzekne']
caisson	['', 'Senkkasten', 'Caisson']
chum salmon	['Ketalachs']
negress	['Negerin']
culvert	['Düker']
Winterthur	['Winterthur']
attestation	['Beleg']
hartebeest	['Kuhantilope']
prove	['sich zeigen', 'sich herausstellen', 'beweisen', 'prüfen']
silage	['Silage']
tomorrow is another day	['morgen ist auch noch ein Tag']
vicissitude	['Unbeständigkeit', 'Wandel']
garden cress	['Kresse', 'Gartenkresse']
funds	['Gelder', 'Geldmittel']
styptic pencil	['blutstillender Rasierstift', 'Alaunstift', 'blutstillender Stift', 'Blutstillstift', 'Rasierstift']
Fus-ha	['Standartarabisch', 'Fusha', 'arabische Hochsprache']
illusory	['illusorisch']
stairs	['Treppe']
tube	['', 'Röhre', 'Rohr', 'Tube']
solanine	['Solanin']
bughouse chess	['Tandemschach']
parvenu	['parvenühaft', 'Emporkömmling', 'Parvenü']
besmirch	['beschmutzen']
cosine	['Kosinus']
prohibit	['verbieten']
nurse shark	['Ammenhai']
account statement	['']
ideologue	['ideologe']
adder	['Viper', 'Kreuzotter', 'Otter', 'Natter']
verify	['verifizieren', 'beweisen', 'belegen']
sedative	['sedativ', 'Beruhigungsmittel', 'beruhigend']
unemployed	['arbeitslos', 'die Arbeitslosen']
unicell	['Einzeller']
lux	['Lux']
masturbator	['Onanist', 'Wichser']
teen	['']
carbon tetrafluoride	['Tetrafluorkohlenstoff', 'Tetrafluormethan', 'Kohlenstofftetrafluorid']
tax revenue	['Steueraufkommen']
virtualize	['virtualisieren']
Algerian	['algerisch', 'Algerier', 'Algerierin']
transition matrix	['Übergangsmatrix']
calculable	['kalkulierbar']
fencer	['Fechter', 'Fechterin']
left-handed	['linkshändig']
indictment	['Anklage']
flame photometry	['Flammenphotometrie']
crossbreed	['Kreuzung', 'kreuzen']
splurge	['Angeberei', 'prassen', 'verprassen', 'ergießen', 'Geldverjubeln', 'Protzen', 'verschwenderisches Ausgeben', 'Prassen', 'Protzerei']
psephology	['Psephologie']
accessible	['zugänglich']
pussy-cat	['Miezekätzchen', 'Miezekatze', 'Schmusekätzchen', 'Muschi', 'Schmusekatze', 'Pantoffeltiger']
Herculaneum	['Herculaneum']
relational	['', 'relational']
tragic hero	['tragischer Held']
cancer	['Krebs']
chlorine dioxide	['Chlordioxid']
slimy	['schleimig']
brachiosaurus	['Brachiosaurus']
Commagene	['Kommagene']
mammal	['Säugetier']
then	['genauso', 'gleichermaßen', 'danach', 'damals', 'damalig', 'anschließend', 'dann']
bylaw	['Gemeindeverordnung', 'Satzung', 'Gemeindesatzung']
acetate	['Azetat']
overpay	['überbezahlen']
distended	['gebläht', 'schwanger', 'aufgetrieben']
baroness	['Baroness']
misanthropist	['']
anamnesis	['Anamnese']
merganser	['Dunkelsäger', 'Gänsesäger', 'Aucklandsäger', 'Kappensäger', 'Schuppensäger', 'Mittelsäger', 'Sägetaucher', 'Säger']
Chadian	['Tschader', 'tschadisch', 'Tschaderin']
Julian	['Julian', 'julianisch']
fledged	['flügge']
triboelectricity	['Reibungselektrizität']
leg press	['Beinpresse']
walnut	['dunkelbraune Farbe', 'Walnussbaum', 'Walnuss', 'Nussbaumholz']
tailgate party	['Parkplatz-Party']
Bach	['Bach']
